year,gdppc,gdppc_1,gdppc_g,positive
1980,20612,20988,-1.7914999047074498,negative
1981,20319,20612,-1.4215020376479703,negative
1982,20650,20319,1.6290171760421357,positive
1983,21366,20650,3.4673123486682833,positive
1984,21869,21366,2.3542076195825157,positive
1985,22579,21869,3.246604783026208,positive
1986,23498,22579,4.070153682625444,positive
1987,24536,23498,4.417397225295772,positive
1988,25679,24536,4.6584610368438195,positive
1989,26164,25679,1.8887028311071363,positive
1990,26189,26164,0.09555113896957401,positive
1991,25792.012779108438,26189,-1.5158548279489925,negative
1992,25790.184687995672,25792.012779108438,-0.007087818730633355,negative
1993,26349.341965887485,25790.184687995672,2.168101099919917,positive
1994,27277.542761025838,26349.341965887485,3.522671633849628,positive
1995,27861.21578257752,27277.542761025838,2.1397566000176393,positive
1996,28472.248239067303,27861.21578257752,2.193129191698362,positive
1997,29259.763819527383,28472.248239067303,2.7659058527718106,positive
1998,30077.38451998016,29259.763819527383,2.794351675207696,positive
1999,30932.53623756816,30077.38451998016,2.8431718091043834,positive
2e3,31946.036339441373,30932.53623756816,3.2764856204784643,positive
2001,32660.441370022447,31946.036339441373,2.236286915190955,positive
2002,33271.302547788306,32660.441370022447,1.8703396284366791,positive
2003,34232.42666000616,33271.302547788306,2.8887480760254824,positive
2004,34865.78267808615,34232.42666000616,1.8501639523555768,positive
2005,35623.6255859275,34865.78267808615,2.1736007329549167,positive
2006,36214.06879467632,35623.6255859275,1.6574483900427817,positive
2007,36816.677075128326,36214.06879467632,1.6640170533408494,positive
2008,36264.790557788256,36816.677075128326,-1.4990122987305066,negative
2009,34402.357978781125,36264.790557788256,-5.135649621467763,negative
2010,34754.472260543975,34402.357978781125,1.0235178704321113,positive
2011,34971,34754.472260543975,0.6230212268302671,positive
2012,35185,34971,0.6119356037859847,positive
2013,35618,35185,1.2306380559897745,positive
2014,36436,35618,2.296591610983212,positive
2015,36941,36436,1.385991876166437,positive
2016,37334,36941,1.0638585853117055,positive
2017,37782.828255550536,37334,1.2021970738483212,positive
2018,38058.08560667451,37782.828255550536,0.728525004169156,positive
